FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,FaithLife Financial,,Glenn  Hymers,Chief Executive Officer,300-470 WEBER STREET NORTH,,WATERLOO,Ontario,N2L 6J2,Life; Accident and sickness. All classes of insurance are limited to the extent authorized by its instrument of incorporation and by-laws.
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,Grand Orange Lodge of British America (The),,Michael  Strain,Chief Executive Officer,505 CONSUMERS ROAD,SUITE 706,TORONTO,Ontario,M2J 4V8,Life; Accident and sickness.
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,Independent Order of Foresters (The),,Matthew M Berman,President and Chief Executive Officer,789 Don Mills Road,,Toronto,Ontario,M3C 1T9,"Life; Accident and sickness. All classes of insurance are limited to the extent authorized by its instrument of incorporation, constitution and laws."
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,Teachers Life Insurance Society (Fraternal),,Kayte  Fredrickson,President & CEO,50 BURNHAMTHORPE ROAD WEST,SUITE 703,MISSISSAUGA,Ontario,L5B 3C2,Life; Accident and sickness.
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Canadian Fraternal Benefit Societies,Toronto Police Widows and Orphans Fund,,SYLVI  KARR,President and Chief Executive Officer,200-2075 KENNEDY RD,,TORONTO,Ontario,M1T 3V3,Life.
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Foreign Fraternal Benefit Societies,Knights of Columbus,Knights of Columbus,Brian M. Kehoe,Chief Agent,888 SIDNEY STREET,,BELLEVILLE,Ontario,K8N 4Z5,Life; Accident and sickness.
Federally Regulated Financial Institutions,Fraternal Benefit Societies,Foreign Fraternal Benefit Societies,Ukrainian National Association,Ukrainian National Association,Andrew  Fynn,Chief Agent,ANDREW FYNN,90 ALLSTATE PARKWAY,MARKHAM,Ontario,L3R 6H3,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Alan CA Inc.,,Mark  Goad,Chief Executive Officer,"199 Bay Street, Suite 4000",,Toronto,Ontario,M5L 1A9,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Allstate Life Insurance Company of Canada,,London  Bradley,Chief Executive Officer,100-27 ALLSTATE PARKWAY,,MARKHAM,Ontario,L3R 5P8,"Life; Accident and sickness. All classes of insurance are limited to the servicing of policies issued prior to November 15, 1996."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,BMO Life Assurance Company,,Rohit  Thomas,Chief Executive Officer,250 YONGE STREET,9TH FLOOR,TORONTO,Ontario,M5B 2L7,Life; Accident and sickness; Credit protection.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,BMO Life Insurance Company,,Rohit  Thomas,Chief Executive Officer,250 YONGE STREET,9TH FLOOR,TORONTO,Ontario,M5B 2L7,"Life; Accident and sickness; Credit protection. The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person. The classes of accident and sickness insurance and credit protection insurance limited to the insurance against involuntary loss of employment, are limited to the servicing of existing policies."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Blue Cross Life Insurance Company of Canada,,Timothy Jarvis Mawhinney,Chief Executive Officer,644 MAIN ST,,MONCTON,New Brunswick,E1C 8L3,Life; Accident and sickness; Credit protection. The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Blumont Annuity Company,,Janice  Madon,Chief Executive Officer,333 BAY STREET,SUITE 710,TORONTO,Ontario,M5H 2R2,Life.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,CIBC Life Insurance Company Limited,,Mark A. Hardy,Chief Executive Officer,81 BAY STREET,CIBC SQUARE,TORONTO,Ontario,M5J 0E7,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,CIGNA Life Insurance Company of Canada,,Fong Liang Tsaur,President and CEO,100 CONSILIUM PLACE,SUITE 301,SCARBOROUGH,Ontario,M1H 3E3,"Life; Accident and sickness; Credit protection. The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Canada Life Assurance Company (The),,DAVID M. HARNEY,President and Chief Executive Officer,100 Osborne Street North,,Winnipeg,Manitoba,R3C 1V3,"Life; Accident and sickness; Credit. Credit Protection Insurance, limited to the insurance against the involuntary loss
of employment by a person, the limit of which insurance is all or part of the debt
of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Canada Life Insurance Company of Canada (The),,DAVID M. HARNEY,President and Chief Executive Officer,100 Osborne Street North,,Winnipeg,Manitoba,R3C 1V3,"Life; Accident and sickness; Credit protection. All classes of insurance are limited to the business of reinsurance.  The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Canadian Premier Life Insurance Company,,Nigel  Branker,Chief Executive Officer,25 SHEPPARD AVE WEST,SUITE 1400,TORONTO,Ontario,M2N 6S6,"Life; Accident and sickness; Credit protection. The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Chubb Life Insurance Company of Canada,,Paul  Johnstone,Chief Executive Officer,199 BAY STREET,SUITE 2500,TORONTO,Ontario,M5L 1E2,"Life; Accident and sickness; Credit protection. The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person."
