name,url,abbreviation,source
University of Exeter,https://www.exeter.ac.uk/study/degreeapprenticeships/,,uk:edu
University of South Wales/Prifysgol De Cymru,https://www.southwales.ac.uk,,uk:edu
University of Glasgow,https://www.gla.ac.uk,,uk:edu
University of Leeds,https://www.leeds.ac.uk,,uk:edu
University of Leicester,https://www.le.ac.uk,,uk:edu
University of London,https://www.lon.ac.uk,,uk:edu
Newcastle University,https://www.ncl.ac.uk,,uk:edu
University of the West of Scotland,https://www.uws.ac.uk,,uk:edu
University of Plymouth,https://www.plymouth.ac.uk,,uk:edu
University of St Andrews,https://www.st-andrews.ac.uk,,uk:edu
University of Stirling,https://www.stir.ac.uk,,uk:edu
University of Strathclyde,https://www.strath.ac.uk,,uk:edu
University of Sussex,https://www.sussex.ac.uk,,uk:edu
Ulster University,https://www.ulster.ac.uk,,uk:edu
Birmingham Christian College,https://www.bccoll.uk,,uk:edu
Lincoln Bishop University,https://www.lincolnbishop.ac.uk,,uk:edu
University of London institute in Paris,https://www.ulip.london.ac.uk,,uk:edu
Cardiff University,https://www.cardiff.ac.uk,,uk:edu
The Royal Central School of Speech and Drama,https://www.cssd.ac.uk,,uk:edu
Chichester College Group,https://www.chichester.ac.uk,,uk:edu
Coleg Llandrillo,https://www.gllm.ac.uk,,uk:edu
Edge Hill University,https://www.edgehill.ac.uk,,uk:edu
Guildhall School of Music & Drama,https://www.gsmd.ac.uk,,uk:edu
Birmingham Newman University,https://www.newman.ac.uk,,uk:edu
Glyndwr University,https://www.glyndwr.ac.uk,,uk:edu
Pembrokeshire College,https://www.pembrokeshire.ac.uk,,uk:edu
The Royal Academy of Music,https://www.ram.ac.uk,,uk:edu
Royal Northern College of Music,https://www.rncm.ac.uk,,uk:edu
SAE Institute Ltd,https://www.sae.edu,,uk:edu
The University of Cumbria,https://www.cumbria.ac.uk,,uk:edu
University of Chester,https://www.chester.ac.uk,,uk:edu
Abertay University,https://www.abertay.ac.uk,,uk:edu
University of Bath,https://www.bath.ac.uk,,uk:edu
University of Derby,https://www.derby.ac.uk,,uk:edu
University of Dundee,https://www.dundee.ac.uk,,uk:edu
Cardiff Metropolitan University,https://www.cardiffmet.ac.uk,,uk:edu
Swansea University,https://www.swan.ac.uk,,uk:edu
Aberystwyth University,https://www.aber.ac.uk,,uk:edu
Bangor University,https://www.bangor.ac.uk,,uk:edu
WCG,https://wcg.ac.uk,,uk:edu
Cliff College,https://www.cliffcollege.ac.uk,,uk:edu
South Hampshire College Group,https://www.shcg.ac.uk,,uk:edu
Tec Partnership,https://tecpartnership.com,,uk:edu
Heart of Worcestershire College,https://www.howcollege.ac.uk,,uk:edu
Stranmillis University College,https://www.stran.ac.uk,,uk:edu
Trinity Laban Conservatoire of Music and Dance,https://www.trinitylaban.ac.uk,,uk:edu
St Mary's University College,https://www.stmarys-belfast.ac.uk,,uk:edu
AA School of Architecture,https://www.aaschool.ac.uk,,uk:edu
University College of Estate Management,https://www.ucem.ac.uk,,uk:edu
Norland College,https://www.norland.co.uk,,uk:edu
Rtc Education Ltd,https://www.regentgroup.org.uk,,uk:edu
Falmouth University,https://www.falmouth.ac.uk,,uk:edu
Northern School of Contemporary Dance,https://www.nscd.ac.uk,,uk:edu
Coleg Gwent,https://www.coleggwent.ac.uk,,uk:edu
Royal Academy of Dramatic Art,https://www.rada.org,,uk:edu
Istituto Marangoni Limited,https://www.istitutomarangoni.com,,uk:edu
Luther King House Educational Trust,https://www.lutherkinghouse.org.uk,,uk:edu
Grwp NPTC Group,https://www.nptcgroup.ac.uk,,uk:edu
The City College,https://www.citycollege.ac.uk,,uk:edu
Cambridge School of Visual and Performing Arts,https://www.csvpa.com,,uk:edu
Midlands Academy Of Dance And Drama,https://www.maddcollege.co.uk,,uk:edu
The London College,https://www.lcuck.ac.uk,,uk:edu
Point Blank Music School,https://www.pointblankmusicschool.com,,uk:edu
London College of Business Studies,https://www.lcbs.co.uk,,uk:edu
Higher Rhythm,https://www.higherrhythm.co.uk,,uk:edu
Assemblies of God Incorporated,https://www.missiodei.ac.uk,,uk:edu
Regents Theological College,https://www.regents-tc.ac.uk,,uk:edu
Centre for Alternative Technology,https://www.cat.org.uk,,uk:edu
University of Essex Online,https://www.online.essex.ac.uk,,uk:edu
Empire College London Limited,https://www.ecl.ac,,uk:edu
Futureworks,https://futureworks.ac.uk,,uk:edu
London School of Management Education,https://www.lsme.ac.uk,,uk:edu
The Manchester College,https://www.themanchestercollege.ac.uk,,uk:edu
